source,target,relationship_type
C0023,P0231,HAS_PAYMENT_INSTRUMENT
C0024,D0240,USES_DEVICE
C0024,D0241,USES_DEVICE
C0024,I0240,USES_IP
C0024,I0241,USES_IP
C0024,I0242,USES_IP
C0024,P0240,HAS_PAYMENT_INSTRUMENT
C0025,D0250,USES_DEVICE
C0025,D0251,USES_DEVICE
C0025,D0252,USES_DEVICE
C0025,I0250,USES_IP
C0025,I0251,USES_IP
C0025,I0252,USES_IP
C0025,P0250,HAS_PAYMENT_INSTRUMENT
C0025,P0251,HAS_PAYMENT_INSTRUMENT
C0026,D0260,USES_DEVICE
C0026,I0260,USES_IP
C0026,I0261,USES_IP
C0026,P0260,HAS_PAYMENT_INSTRUMENT
C0026,P0261,HAS_PAYMENT_INSTRUMENT
C0027,D0270,USES_DEVICE
C0027,D0271,USES_DEVICE
C0027,D0272,USES_DEVICE
C0027,I0270,USES_IP
C0027,P0270,HAS_PAYMENT_INSTRUMENT
C0028,D0280,USES_DEVICE
C0028,D0281,USES_DEVICE
C0028,D0282,USES_DEVICE
C0028,I0280,USES_IP
C0028,I0281,USES_IP
C0028,P0280,HAS_PAYMENT_INSTRUMENT
C0029,D0290,USES_DEVICE
C0029,I0290,USES_IP
C0029,I0291,USES_IP
C0029,P0290,HAS_PAYMENT_INSTRUMENT
C0030,D0300,USES_DEVICE
C0030,D0301,USES_DEVICE
C0030,D0302,USES_DEVICE
C0030,I0300,USES_IP
C0030,I0301,USES_IP
C0030,P0300,HAS_PAYMENT_INSTRUMENT
C0030,P0301,HAS_PAYMENT_INSTRUMENT
C0031,D0310,USES_DEVICE
C0031,D0311,USES_DEVICE
C0031,I0006,USES_IP
C0031,P0310,HAS_PAYMENT_INSTRUMENT
C0032,D0320,USES_DEVICE
C0032,I0320,USES_IP
C0032,I0006,USES_IP
C0032,I0322,USES_IP
C0032,P0320,HAS_PAYMENT_INSTRUMENT
C0033,D0330,USES_DEVICE
C0033,I0330,USES_IP
C0033,I0331,USES_IP
C0033,I0332,USES_IP
C0033,P0330,HAS_PAYMENT_INSTRUMENT
C0033,P0331,HAS_PAYMENT_INSTRUMENT
C0034,D0340,USES_DEVICE
C0034,I0340,USES_IP
C0034,I0341,USES_IP
C0034,I0342,USES_IP
C0034,P0340,HAS_PAYMENT_INSTRUMENT
C0034,P0341,HAS_PAYMENT_INSTRUMENT
C0035,D0350,USES_DEVICE
C0035,D0351,USES_DEVICE
C0035,D0352,USES_DEVICE
C0035,I0350,USES_IP
C0035,I0351,USES_IP
C0035,I0352,USES_IP
C0035,P0350,HAS_PAYMENT_INSTRUMENT
C0036,D0360,USES_DEVICE
C0036,I0360,USES_IP
C0036,P0360,HAS_PAYMENT_INSTRUMENT
C0037,D0370,USES_DEVICE
C0037,D0371,USES_DEVICE
C0037,D0372,USES_DEVICE
C0037,I0007,USES_IP
C0037,P0370,HAS_PAYMENT_INSTRUMENT
C0038,D0380,USES_DEVICE
C0038,I0380,USES_IP
C0038,P0380,HAS_PAYMENT_INSTRUMENT
C0038,P0381,HAS_PAYMENT_INSTRUMENT
C0039,D0390,USES_DEVICE
C0039,I0390,USES_IP
C0039,I0391,USES_IP
C0039,I0392,USES_IP
C0039,P0390,HAS_PAYMENT_INSTRUMENT
C0040,D0400,USES_DEVICE
C0040,D0401,USES_DEVICE
C0040,D0402,USES_DEVICE
C0040,I0400,USES_IP
C0040,I0401,USES_IP
C0040,I0402,USES_IP
C0040,P0400,HAS_PAYMENT_INSTRUMENT
C0040,P0401,HAS_PAYMENT_INSTRUMENT
C0041,D0410,USES_DEVICE
C0041,I0008,USES_IP
C0041,P0410,HAS_PAYMENT_INSTRUMENT
C0041,P0411,HAS_PAYMENT_INSTRUMENT
C0042,D0420,USES_DEVICE
C0042,D0421,USES_DEVICE
C0042,I0420,USES_IP
C0042,I0421,USES_IP
C0042,P0420,HAS_PAYMENT_INSTRUMENT
C0043,D0430,USES_DEVICE
C0043,D0431,USES_DEVICE
C0043,D0432,USES_DEVICE
C0043,I0430,USES_IP
C0043,I0008,USES_IP
C0043,I0432,USES_IP
C0043,P0430,HAS_PAYMENT_INSTRUMENT
C0043,P0431,HAS_PAYMENT_INSTRUMENT
C0044,D0440,USES_DEVICE
C0044,I0440,USES_IP
C0044,P0440,HAS_PAYMENT_INSTRUMENT
C0044,P0441,HAS_PAYMENT_INSTRUMENT
C0045,D0450,USES_DEVICE
C0045,I0450,USES_IP
C0045,I0451,USES_IP
C0045,P0450,HAS_PAYMENT_INSTRUMENT
C0046,D0460,USES_DEVICE
C0046,D0461,USES_DEVICE
C0046,I0009,USES_IP
C0046,I0461,USES_IP
C0046,I0462,USES_IP
C0046,P0460,HAS_PAYMENT_INSTRUMENT
C0047,D0470,USES_DEVICE
C0047,I0470,USES_IP
C0047,P0470,HAS_PAYMENT_INSTRUMENT
C0047,P0471,HAS_PAYMENT_INSTRUMENT
C0048,D0480,USES_DEVICE
C0048,D0481,USES_DEVICE
C0048,I0480,USES_IP
C0048,P0480,HAS_PAYMENT_INSTRUMENT
C0049,D0490,USES_DEVICE
C0049,I0009,USES_IP
C0049,I0491,USES_IP
C0049,P0490,HAS_PAYMENT_INSTRUMENT
C0049,P0491,HAS_PAYMENT_INSTRUMENT
C0050,D0500,USES_DEVICE
C0050,D0501,USES_DEVICE
C0050,I0500,USES_IP
C0050,I0501,USES_IP
C0050,P0500,HAS_PAYMENT_INSTRUMENT
C0050,P0501,HAS_PAYMENT_INSTRUMENT
C0051,D0510,USES_DEVICE
C0051,I0510,USES_IP
C0051,P0510,HAS_PAYMENT_INSTRUMENT
C0052,D0520,USES_DEVICE
C0052,D0521,USES_DEVICE
C0052,D0522,USES_DEVICE
C0052,I0520,USES_IP
C0052,I0521,USES_IP
C0052,I0010,USES_IP
C0052,P0520,HAS_PAYMENT_INSTRUMENT
C0052,P0521,HAS_PAYMENT_INSTRUMENT
C0053,D0530,USES_DEVICE
C0053,D0531,USES_DEVICE
C0053,D0532,USES_DEVICE
C0053,I0530,USES_IP
C0053,I0531,USES_IP
C0053,I0010,USES_IP
C0053,P0530,HAS_PAYMENT_INSTRUMENT
C0054,D0540,USES_DEVICE
C0054,I0010,USES_IP
C0054,I0541,USES_IP
C0054,I0542,USES_IP
C0054,P0540,HAS_PAYMENT_INSTRUMENT
C0055,D0550,USES_DEVICE
C0055,D0551,USES_DEVICE
C0055,D0552,USES_DEVICE
C0055,I0011,USES_IP
C0055,I0011,USES_IP
C0055,I0552,USES_IP
C0055,P0550,HAS_PAYMENT_INSTRUMENT
C0055,P0551,HAS_PAYMENT_INSTRUMENT
C0056,D0560,USES_DEVICE
C0056,D0561,USES_DEVICE
C0056,I0560,USES_IP
C0056,P0560,HAS_PAYMENT_INSTRUMENT
C0056,P0561,HAS_PAYMENT_INSTRUMENT
C0057,D0570,USES_DEVICE
C0057,I0570,USES_IP
C0057,I0571,USES_IP
C0057,P0570,HAS_PAYMENT_INSTRUMENT
C0057,P0571,HAS_PAYMENT_INSTRUMENT
C0058,D0580,USES_DEVICE
C0058,D0581,USES_DEVICE
C0058,I0580,USES_IP
C0058,I0581,USES_IP
C0058,P0580,HAS_PAYMENT_INSTRUMENT
C0059,D0590,USES_DEVICE
C0059,D0591,USES_DEVICE
C0059,I0590,USES_IP
C0059,I0591,USES_IP
C0059,I0011,USES_IP
C0059,P0590,HAS_PAYMENT_INSTRUMENT
C0060,D0600,USES_DEVICE
C0060,D0601,USES_DEVICE
C0060,D0602,USES_DEVICE
C0060,I0600,USES_IP
C0060,I0601,USES_IP
C0060,P0600,HAS_PAYMENT_INSTRUMENT
C0061,D0610,USES_DEVICE
C0061,I0610,USES_IP
C0061,I0611,USES_IP
C0061,P0610,HAS_PAYMENT_INSTRUMENT
C0061,P0611,HAS_PAYMENT_INSTRUMENT
C0062,D0620,USES_DEVICE
C0062,D0621,USES_DEVICE
C0062,D0622,USES_DEVICE
C0062,I0620,USES_IP
C0062,I0621,USES_IP
C0062,I0622,USES_IP
C0062,P0620,HAS_PAYMENT_INSTRUMENT
C0063,D0630,USES_DEVICE
C0063,I0630,USES_IP
C0063,I0631,USES_IP
C0063,P0630,HAS_PAYMENT_INSTRUMENT
C0064,D0640,USES_DEVICE
C0064,D0641,USES_DEVICE
C0064,I0640,USES_IP
C0064,I0641,USES_IP
C0064,P0640,HAS_PAYMENT_INSTRUMENT
C0065,D0650,USES_DEVICE
C0065,D0651,USES_DEVICE
C0065,D0652,USES_DEVICE
C0065,I0650,USES_IP
C0065,I0651,USES_IP
C0065,I0652,USES_IP
C0065,P0650,HAS_PAYMENT_INSTRUMENT
C0066,D0660,USES_DEVICE
C0066,I0660,USES_IP
C0066,I0661,USES_IP
C0066,I0013,USES_IP
C0066,P0660,HAS_PAYMENT_INSTRUMENT
C0067,D0670,USES_DEVICE
C0067,D0671,USES_DEVICE
C0067,D0672,USES_DEVICE
C0067,I0670,USES_IP
C0067,I0671,USES_IP
C0067,P0670,HAS_PAYMENT_INSTRUMENT
C0067,P0671,HAS_PAYMENT_INSTRUMENT
C0068,D0680,USES_DEVICE
C0068,D0681,USES_DEVICE
C0068,D0682,USES_DEVICE
C0068,I0680,USES_IP
C0068,P0680,HAS_PAYMENT_INSTRUMENT
C0069,D0690,USES_DEVICE
C0069,D0691,USES_DEVICE
C0069,D0692,USES_DEVICE
C0069,I0690,USES_IP
C0069,P0690,HAS_PAYMENT_INSTRUMENT
C0070,D0700,USES_DEVICE
C0070,D0701,USES_DEVICE
C0070,I0014,USES_IP
C0070,P0700,HAS_PAYMENT_INSTRUMENT
C0070,P0701,HAS_PAYMENT_INSTRUMENT
C0071,D0710,USES_DEVICE
C0071,I0710,USES_IP
C0071,I0711,USES_IP
C0071,P0710,HAS_PAYMENT_INSTRUMENT
C0072,D0720,USES_DEVICE
C0072,D0721,USES_DEVICE
C0072,I0720,USES_IP
C0072,I0721,USES_IP
C0072,I0722,USES_IP
C0072,P0720,HAS_PAYMENT_INSTRUMENT
C0073,D0730,USES_DEVICE
C0073,I0730,USES_IP
C0073,P0730,HAS_PAYMENT_INSTRUMENT
C0074,D0740,USES_DEVICE
C0074,D0741,USES_DEVICE
C0074,I0740,USES_IP
C0074,P0740,HAS_PAYMENT_INSTRUMENT
C0074,P0741,HAS_PAYMENT_INSTRUMENT
C0075,D0750,USES_DEVICE
C0075,D0751,USES_DEVICE
C0075,I0750,USES_IP
C0075,I0751,USES_IP
C0075,I0752,USES_IP
C0075,P0750,HAS_PAYMENT_INSTRUMENT
C0076,D0760,USES_DEVICE
C0076,D0761,USES_DEVICE
C0076,I0760,USES_IP
C0076,P0760,HAS_PAYMENT_INSTRUMENT
C0077,D0770,USES_DEVICE
C0077,I0770,USES_IP
C0077,I0771,USES_IP
C0077,P0770,HAS_PAYMENT_INSTRUMENT
C0078,D0780,USES_DEVICE
C0078,I0780,USES_IP
C0078,P0780,HAS_PAYMENT_INSTRUMENT
C0078,P0781,HAS_PAYMENT_INSTRUMENT
C0079,D0790,USES_DEVICE
C0079,D0791,USES_DEVICE
C0079,I0790,USES_IP
C0079,I0791,USES_IP
C0079,P0790,HAS_PAYMENT_INSTRUMENT
C0079,P0791,HAS_PAYMENT_INSTRUMENT
C0080,D0800,USES_DEVICE
C0080,D0801,USES_DEVICE
C0080,I0800,USES_IP
C0080,I0801,USES_IP
C0080,I0802,USES_IP
C0080,P0800,HAS_PAYMENT_INSTRUMENT
C0080,P0801,HAS_PAYMENT_INSTRUMENT
C0081,D0810,USES_DEVICE
C0081,I0810,USES_IP
C0081,P0810,HAS_PAYMENT_INSTRUMENT
C0081,P0811,HAS_PAYMENT_INSTRUMENT
C0082,D0820,USES_DEVICE
C0082,I0820,USES_IP
C0082,I0821,USES_IP
C0082,I0822,USES_IP
C0082,P0820,HAS_PAYMENT_INSTRUMENT
C0082,P0821,HAS_PAYMENT_INSTRUMENT
C0083,D0830,USES_DEVICE
C0083,D0831,USES_DEVICE
C0083,I0830,USES_IP
C0083,I0831,USES_IP
C0083,I0832,USES_IP
C0083,P0830,HAS_PAYMENT_INSTRUMENT
C0084,D0840,USES_DEVICE
C0084,D0841,USES_DEVICE
C0084,I0840,USES_IP
C0084,I0016,USES_IP
C0084,I0842,USES_IP
C0084,P0840,HAS_PAYMENT_INSTRUMENT
C0085,D0850,USES_DEVICE
C0085,D0851,USES_DEVICE
C0085,I0017,USES_IP
C0085,I0851,USES_IP
C0085,P0850,HAS_PAYMENT_INSTRUMENT
C0085,P0851,HAS_PAYMENT_INSTRUMENT
C0086,D0860,USES_DEVICE
C0086,D0861,USES_DEVICE
C0086,D0862,USES_DEVICE
C0086,I0860,USES_IP
C0086,I0861,USES_IP
C0086,P0860,HAS_PAYMENT_INSTRUMENT
C0086,P0861,HAS_PAYMENT_INSTRUMENT
C0087,D0870,USES_DEVICE
C0087,D0871,USES_DEVICE
C0087,D0872,USES_DEVICE
C0087,I0870,USES_IP
C0087,I0871,USES_IP
C0087,P0870,HAS_PAYMENT_INSTRUMENT
C0087,P0871,HAS_PAYMENT_INSTRUMENT
C0088,D0880,USES_DEVICE
C0088,D0881,USES_DEVICE
C0088,D0882,USES_DEVICE
C0088,I0880,USES_IP
C0088,P0880,HAS_PAYMENT_INSTRUMENT
C0088,P0881,HAS_PAYMENT_INSTRUMENT
C0089,D0890,USES_DEVICE
C0089,D0891,USES_DEVICE
C0089,D0892,USES_DEVICE
C0089,I0890,USES_IP
C0089,I0891,USES_IP
C0089,I0892,USES_IP
C0089,P0890,HAS_PAYMENT_INSTRUMENT
C0090,D0900,USES_DEVICE
C0090,D0901,USES_DEVICE
C0090,I0900,USES_IP
C0090,I0901,USES_IP
C0090,P0900,HAS_PAYMENT_INSTRUMENT
C0090,P0901,HAS_PAYMENT_INSTRUMENT
C0091,D0910,USES_DEVICE
C0091,D0911,USES_DEVICE
C0091,I0910,USES_IP
C0091,I0911,USES_IP
C0091,P0910,HAS_PAYMENT_INSTRUMENT
C0091,P0911,HAS_PAYMENT_INSTRUMENT
C0092,D0920,USES_DEVICE
C0092,D0921,USES_DEVICE
C0092,D0922,USES_DEVICE
C0092,I0920,USES_IP
C0092,P0920,HAS_PAYMENT_INSTRUMENT
C0092,P0921,HAS_PAYMENT_INSTRUMENT
C0093,D0930,USES_DEVICE
C0093,D0931,USES_DEVICE
C0093,D0932,USES_DEVICE
C0093,I0930,USES_IP
C0093,I0931,USES_IP
C0093,I0932,USES_IP
C0093,P0930,HAS_PAYMENT_INSTRUMENT
C0094,D0940,USES_DEVICE
C0094,D0941,USES_DEVICE
C0094,D0942,USES_DEVICE
C0094,I0940,USES_IP
C0094,I0941,USES_IP
C0094,P0940,HAS_PAYMENT_INSTRUMENT
C0095,D0950,USES_DEVICE
C0095,I0950,USES_IP
C0095,P0950,HAS_PAYMENT_INSTRUMENT
C0096,D0960,USES_DEVICE
C0096,D0961,USES_DEVICE
C0096,I0960,USES_IP
C0096,I0961,USES_IP
C0096,P0960,HAS_PAYMENT_INSTRUMENT
C0096,P0961,HAS_PAYMENT_INSTRUMENT
C0097,D0970,USES_DEVICE
C0097,D0971,USES_DEVICE
C0097,I0970,USES_IP
C0097,I0971,USES_IP
C0097,P0970,HAS_PAYMENT_INSTRUMENT
C0098,D0980,USES_DEVICE
C0098,I0980,USES_IP
C0098,I0981,USES_IP
C0098,P0980,HAS_PAYMENT_INSTRUMENT
C0098,P0981,HAS_PAYMENT_INSTRUMENT
C0099,D0990,USES_DEVICE
C0099,I0990,USES_IP
C0099,I0991,USES_IP
C0099,I0992,USES_IP
C0099,P0990,HAS_PAYMENT_INSTRUMENT
C0099,P0991,HAS_PAYMENT_INSTRUMENT
C0100,D1000,USES_DEVICE
C0100,D1001,USES_DEVICE
C0100,D1002,USES_DEVICE
C0100,I1000,USES_IP
C0100,I1001,USES_IP
C0100,I1002,USES_IP
C0100,P1000,HAS_PAYMENT_INSTRUMENT
C0100,P1001,HAS_PAYMENT_INSTRUMENT
C0101,D1010,USES_DEVICE
C0101,D1011,USES_DEVICE
C0101,D1012,USES_DEVICE
C0101,I1010,USES_IP
C0101,I1011,USES_IP
C0101,I1012,USES_IP
C0101,P1010,HAS_PAYMENT_INSTRUMENT
C0101,P1011,HAS_PAYMENT_INSTRUMENT
C0102,D1020,USES_DEVICE
C0102,I1020,USES_IP
C0102,I1021,USES_IP
C0102,I1022,USES_IP
C0102,P1020,HAS_PAYMENT_INSTRUMENT
C0102,P1021,HAS_PAYMENT_INSTRUMENT
C0103,D1030,USES_DEVICE
C0103,D1031,USES_DEVICE
C0103,D1032,USES_DEVICE
C0103,I1030,USES_IP
C0103,I1031,USES_IP
C0103,P1030,HAS_PAYMENT_INSTRUMENT
C0104,D1040,USES_DEVICE
C0104,D1041,USES_DEVICE
C0104,D1042,USES_DEVICE
C0104,I1040,USES_IP
C0104,I1041,USES_IP
C0104,P1040,HAS_PAYMENT_INSTRUMENT
C0105,D1050,USES_DEVICE
C0105,I1050,USES_IP
C0105,P1050,HAS_PAYMENT_INSTRUMENT
C0106,D1060,USES_DEVICE
C0106,D1061,USES_DEVICE
C0106,D1062,USES_DEVICE
C0106,I0021,USES_IP
C0106,P1060,HAS_PAYMENT_INSTRUMENT
C0106,P1061,HAS_PAYMENT_INSTRUMENT
C0107,D1070,USES_DEVICE
C0107,D1071,USES_DEVICE
C0107,I1070,USES_IP
C0107,I0021,USES_IP
C0107,I1072,USES_IP
C0107,P1070,HAS_PAYMENT_INSTRUMENT
C0107,P1071,HAS_PAYMENT_INSTRUMENT
C0108,D1080,USES_DEVICE
C0108,D1081,USES_DEVICE
C0108,D1082,USES_DEVICE
C0108,I0021,USES_IP
C0108,I1081,USES_IP
C0108,I1082,USES_IP
C0108,P1080,HAS_PAYMENT_INSTRUMENT
C0108,P1081,HAS_PAYMENT_INSTRUMENT
C0109,D1090,USES_DEVICE
C0109,I1090,USES_IP
C0109,I1091,USES_IP
C0109,P1090,HAS_PAYMENT_INSTRUMENT
C0109,P1091,HAS_PAYMENT_INSTRUMENT
C0110,D1100,USES_DEVICE
C0110,D1101,USES_DEVICE
C0110,D1102,USES_DEVICE
C0110,I1100,USES_IP
C0110,I1101,USES_IP
C0110,I1102,USES_IP
C0110,P1100,HAS_PAYMENT_INSTRUMENT
C0110,P1101,HAS_PAYMENT_INSTRUMENT
C0111,D1110,USES_DEVICE
C0111,I1110,USES_IP
C0111,I0022,USES_IP
C0111,P1110,HAS_PAYMENT_INSTRUMENT
C0111,P1111,HAS_PAYMENT_INSTRUMENT
C0112,D1120,USES_DEVICE
C0112,D1121,USES_DEVICE
C0112,D1122,USES_DEVICE
C0112,I1120,USES_IP
C0112,I1121,USES_IP
C0112,I1122,USES_IP
C0112,P1120,HAS_PAYMENT_INSTRUMENT
C0113,D1130,USES_DEVICE
C0113,D1131,USES_DEVICE
C0113,D1132,USES_DEVICE
C0113,I0022,USES_IP
C0113,I1131,USES_IP
C0113,I1132,USES_IP
C0113,P1130,HAS_PAYMENT_INSTRUMENT
C0114,D1140,USES_DEVICE
C0114,I1140,USES_IP
C0114,I1141,USES_IP
C0114,I1142,USES_IP
C0114,P1140,HAS_PAYMENT_INSTRUMENT
C0114,P1141,HAS_PAYMENT_INSTRUMENT
C0115,D1150,USES_DEVICE
C0115,D1151,USES_DEVICE
C0115,I1150,USES_IP
C0115,I1151,USES_IP
C0115,P1150,HAS_PAYMENT_INSTRUMENT
C0115,P1151,HAS_PAYMENT_INSTRUMENT
C0116,D1160,USES_DEVICE
C0116,D1161,USES_DEVICE
C0116,I1160,USES_IP
C0116,I0023,USES_IP
C0116,P1160,HAS_PAYMENT_INSTRUMENT
C0117,D1170,USES_DEVICE
C0117,D1171,USES_DEVICE
C0117,D1172,USES_DEVICE
C0117,I0023,USES_IP
C0117,I1171,USES_IP
C0117,I1172,USES_IP
C0117,P1170,HAS_PAYMENT_INSTRUMENT
C0118,D1180,USES_DEVICE
C0118,D1181,USES_DEVICE
C0118,D1182,USES_DEVICE
C0118,I1180,USES_IP
C0118,P1180,HAS_PAYMENT_INSTRUMENT
C0119,D1190,USES_DEVICE
C0119,I1190,USES_IP
C0119,P1190,HAS_PAYMENT_INSTRUMENT
C0120,D1200,USES_DEVICE
C0120,I1200,USES_IP
C0120,I1201,USES_IP
C0120,P1200,HAS_PAYMENT_INSTRUMENT
C0121,D1210,USES_DEVICE
C0121,D1211,USES_DEVICE
C0121,I1210,USES_IP
C0121,I1211,USES_IP
C0121,I1212,USES_IP
C0121,P1210,HAS_PAYMENT_INSTRUMENT
C0122,D1220,USES_DEVICE
C0122,I1220,USES_IP
C0122,I0024,USES_IP
C0122,P1220,HAS_PAYMENT_INSTRUMENT
C0122,P1221,HAS_PAYMENT_INSTRUMENT
C0123,D1230,USES_DEVICE
C0123,D1231,USES_DEVICE
C0123,D1232,USES_DEVICE
C0123,I1230,USES_IP
C0123,I1231,USES_IP
C0123,I1232,USES_IP
C0123,P1230,HAS_PAYMENT_INSTRUMENT
C0124,D1240,USES_DEVICE
C0124,I1240,USES_IP
C0124,I1241,USES_IP
C0124,I1242,USES_IP
C0124,P1240,HAS_PAYMENT_INSTRUMENT
C0124,P1241,HAS_PAYMENT_INSTRUMENT
C0125,D1250,USES_DEVICE
C0125,D1251,USES_DEVICE
C0125,D1252,USES_DEVICE
C0125,I1250,USES_IP
C0125,I1251,USES_IP
C0125,I1252,USES_IP
C0125,P1250,HAS_PAYMENT_INSTRUMENT
C0126,D1260,USES_DEVICE
C0126,D1261,USES_DEVICE
C0126,I1260,USES_IP
C0126,I1261,USES_IP
C0126,I1262,USES_IP
C0126,P1260,HAS_PAYMENT_INSTRUMENT
C0126,P1261,HAS_PAYMENT_INSTRUMENT
C0127,D1270,USES_DEVICE
C0127,I1270,USES_IP
C0127,I1271,USES_IP
C0127,P1270,HAS_PAYMENT_INSTRUMENT
C0127,P1271,HAS_PAYMENT_INSTRUMENT
C0128,D1280,USES_DEVICE
C0128,D1281,USES_DEVICE
C0128,D1282,USES_DEVICE
C0128,I1280,USES_IP
C0128,I1281,USES_IP
C0128,P1280,HAS_PAYMENT_INSTRUMENT
C0128,P1281,HAS_PAYMENT_INSTRUMENT
C0129,D1290,USES_DEVICE
C0129,D1291,USES_DEVICE
C0129,D1292,USES_DEVICE
C0129,I1290,USES_IP
C0129,I1291,USES_IP
C0129,I1292,USES_IP
C0129,P1290,HAS_PAYMENT_INSTRUMENT
C0129,P1291,HAS_PAYMENT_INSTRUMENT
C0130,D1300,USES_DEVICE
C0130,D1301,USES_DEVICE
C0130,I1300,USES_IP
C0130,P1300,HAS_PAYMENT_INSTRUMENT
C0131,D1310,USES_DEVICE
C0131,D1311,USES_DEVICE
C0131,I1310,USES_IP
C0131,I1311,USES_IP
C0131,P1310,HAS_PAYMENT_INSTRUMENT
C0131,P1311,HAS_PAYMENT_INSTRUMENT
C0132,D1320,USES_DEVICE
C0132,D1321,USES_DEVICE
C0132,I1320,USES_IP
C0132,P1320,HAS_PAYMENT_INSTRUMENT
C0132,P1321,HAS_PAYMENT_INSTRUMENT
C0133,D1330,USES_DEVICE
C0133,I1330,USES_IP
C0133,I1331,USES_IP
C0133,P1330,HAS_PAYMENT_INSTRUMENT
